date,state,positive,negative,pending,hospitalized_currently,hospitalized_cumulative,in_icu_currently,in_icu_cumulative,on_ventilator_currently,on_ventilator_cumulative,recovered,data_quality_grade,last_update_et,hash,date_checked,death,hospitalized,total,total_test_results,pos_neg,fips,death_increase,hospitalized_increase,negative_increase,positive_increase,total_test_results_increase,fips_code,iso_subdivision,load_time,iso_country
2020-09-25,AK,8202,433130,,43,,,,14,,3042,A,2020-09-25 03:59:00,0271fcc794329b2dd035402cb74aad56124c446b,2020-09-25T03:59:00Z,51,,441332,441332,441332,2,6,0,7873,261,8134,2,US-AK,2020-09-26 00:07:40,US
2020-09-25,AL,150658,963364,,718,16852,,1782,,1000,64583,A,2020-09-25 11:00:00,08184faa52c95520b2871a34cbea8adad1c1d054,2020-09-25T11:00:00Z,2491,16852,1114022,1097595,1114022,1,-15,74,18617,2452,19415,1,US-AL,2020-09-26 00:07:40,US
2020-09-25,AR,79946,848822,,478,5202,224,,95,657,71426,A+,2020-09-25 00:00:00,6d09ffffc7c9131f7489f7d8e3e4501ce55b8e1e,2020-09-25T00:00:00Z,1266,5202,928768,926294,928768,5,20,42,8085,897,8881,5,US-AR,2020-09-26 00:07:40,US
2020-09-25,AS,0,1571,,,,,,,,,D,2020-09-01 00:00:00,84c6296997b54d1474da9d9c51e33d48fda7fb5b,2020-09-01T00:00:00Z,0,,1571,1571,1571,60,0,0,0,0,0,60,US-AS,2020-09-26 00:07:40,US
2020-09-25,AZ,216367,1211657,,521,21972,119,,65,,34564,A+,2020-09-25 00:00:00,a7a38e5509bf8d1ebfe03d1d9acd5febad3546d0,2020-09-25T00:00:00Z,5587,21972,1428024,1423603,1428024,4,28,30,7092,515,7612,4,US-AZ,2020-09-26 00:07:40,US
2020-09-25,CA,794040,13258207,,3307,,899,,,,,B,2020-09-24 02:59:00,dc1ad4cec70e3f611d3c3453330d057af15b2802,2020-09-24T02:59:00Z,15398,,14052247,14052247,14052247,6,84,0,95990,3400,99390,6,US-CA,2020-09-26 00:07:40,US
2020-09-25,CO,67217,795588,,258,7454,,,,,6384,A,2020-09-24 01:59:00,45e4c07f8e584b5c055940eaa9c96cd814f2e4e5,2020-09-24T01:59:00Z,1935,7454,862805,1260861,862805,8,9,10,8665,548,15116,8,US-CO,2020-09-26 00:07:40,US
2020-09-25,CT,56587,1462564,,76,11560,,,,,9310,B,2020-09-24 20:30:00,7bba4f44da52bffe3a760b5e91631916a9d12741,2020-09-24T20:30:00Z,4501,11560,1519151,1519151,1519151,9,2,0,13563,115,13678,9,US-CT,2020-09-26 00:07:40,US
2020-09-25,DC,15163,358423,,101,,29,,17,,11990,A+,2020-09-24 00:00:00,fa43d123c3d8a81e9ca093ade7dd2b5bd84f2e46,2020-09-24T00:00:00Z,623,,373586,373586,373586,11,2,0,5662,57,5719,11,US-DC,2020-09-26 00:07:40,US
2020-09-25,DE,20085,259289,,53,,11,,,,10517,A+,2020-09-24 18:00:00,0cb6cfa23b27978fc86ee02a2be8fc6824f50d2e,2020-09-24T18:00:00Z,631,,279374,279374,279374,10,1,0,1320,138,1458,10,US-DE,2020-09-26 00:07:40,US
2020-09-25,FL,695887,4510107,3987,2121,43793,,,,,,A,2020-09-23 23:59:00,ef546a1f3e7045e633900fb6c08ebc71468c9cc5,2020-09-23T23:59:00Z,14083,43793,5209981,5205994,5205994,12,122,172,23648,2847,26495,12,US-FL,2020-09-26 00:07:40,US
2020-09-25,GA,312514,2534980,,1891,28035,,5156,,,,A,2020-09-25 14:50:00,a6249bd4f2c3fb48f3b6f2017128b312f3fe0441,2020-09-25T14:50:00Z,6874,28035,2847494,2847494,2847494,13,52,132,-166,1468,22678,13,US-GA,2020-09-26 00:07:40,US
2020-09-25,GU,2286,45970,,31,,11,,,,1668,A,2020-09-25 08:00:00,fb3e86409c30ee1985da66f84ce87e1407f9609a,2020-09-25T08:00:00Z,41,,48256,48256,48256,66,3,0,546,23,569,66,US-GU,2020-09-26 00:07:40,US
2020-09-25,HI,11779,275096,,150,779,55,,30,,5265,B,2020-09-24 18:00:00,3486c616f8dc9fe588d846e6b7ba3c2c3578c244,2020-09-24T18:00:00Z,124,779,286875,286875,286875,15,2,16,0,90,90,84,US-UM,2020-09-26 00:07:40,US
2020-09-25,HI,11779,275096,,150,779,55,,30,,5265,B,2020-09-24 18:00:00,3486c616f8dc9fe588d846e6b7ba3c2c3578c244,2020-09-24T18:00:00Z,124,779,286875,286875,286875,15,2,16,0,90,90,15,US-HI,2020-09-26 00:07:40,US
2020-09-25,IA,82045,662936,,330,,87,,35,,62648,A+,2020-09-25 00:00:00,8b946f1a4d28145fbe7ed6ca8f9fb3b2a6cced4b,2020-09-25T00:00:00Z,1307,,744981,744981,744981,19,5,0,5427,974,6401,19,US-IA,2020-09-26 00:07:40,US
2020-09-25,ID,39234,260648,,147,1766,40,449,,,21105,A,2020-09-24 18:54:00,54cbd57bd945d0aff2f97042076c6ca51bdaa3e4,2020-09-24T18:54:00Z,457,1766,299882,296412,299882,16,3,12,1948,491,2349,16,US-ID,2020-09-26 00:07:40,US
2020-09-25,IL,286374,5079586,,1637,,371,,124,,,A,2020-09-25 00:00:00,eba0b8805427a5e5e03fefdff222976f3e0158c6,2020-09-25T00:00:00Z,8807,,5365960,5365960,5365960,17,33,0,67279,2805,70084,17,US-IL,2020-09-26 00:07:40,US
2020-09-25,IN,115407,1226055,,856,12463,258,2484,83,,91866,A+,2020-09-24 23:59:00,5dcfed6931f9331d3b127a4bbfbf2916180d7ab8,2020-09-24T23:59:00Z,3566,12463,1341462,1341462,1341462,18,18,75,8683,1171,9854,18,US-IN,2020-09-26 00:07:40,US
2020-09-25,KS,56592,446178,,343,2816,121,768,34,250,2039,A+,2020-09-25 10:00:00,01571a6c7aa99492ea181c9242d32a1e32c9344c,2020-09-25T10:00:00Z,632,2816,502770,502770,502770,20,11,50,9123,1366,10489,20,US-KS,2020-09-26 00:07:40,US
2020-09-25,KY,65066,1187262,,553,5147,130,1501,,,11677,B,2020-09-25 00:00:00,77c25dacc4bfb618309cad6a6bbab52310394106,2020-09-25T00:00:00Z,1149,5147,1252328,1244628,1252328,21,12,28,17485,908,18243,21,US-KY,2020-09-26 00:07:40,US
2020-09-25,LA,165152,2090913,,570,,,,86,,149640,A,2020-09-25 13:00:00,25e0ee29f19c5ee29b7147d637fdc6eabccbdd0d,2020-09-25T13:00:00Z,5444,,2256065,2256065,2256065,22,21,0,17825,706,18531,22,US-LA,2020-09-26 00:07:40,US
